iter	RMSE
349	7.506526638
350	7.504272891
351	7.501735677
352	7.499362073
353	7.496649423
354	7.494028095
355	7.491882586
356	7.489337482
357	7.488462219
358	7.485713187
359	7.484101681
360	7.482168962
361	7.479641104
362	7.476724132
363	7.473362678
364	7.469775797
365	7.466300955
366	7.463561607
367	7.46116539
368	7.458598904
369	7.456303295
370	7.454267654
371	7.451259261
372	7.448096889
373	7.446179889
374	7.444970746
375	7.442599949
376	7.44060477
377	7.440102756
378	7.437289889
379	7.436340961
380	7.433076816
381	7.429985725
382	7.429188005
383	7.426459682
384	7.424612074
385	7.422531613
386	7.420350331
387	7.419412887
388	7.416562349
389	7.414282285
390	7.412079202
391	7.411393916
392	7.409229645
393	7.406288907
394	7.404338661
395	7.402080493
396	7.398358683
397	7.39578085
398	7.393686704
399	7.392747068
